timestamp,price,lag_1,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7
2025-04-16 00:00:00,83656.49248858042,84523.4524914945,83926.92169354012,517.360221101683,83249.09688042219,1821.7444130688766
2025-04-17 00:00:00,84105.77942167096,83656.49248858042,84095.24146724863,433.57605794793994,83461.04104130903,1822.9528235575954
2025-04-18 00:00:00,84930.90857600998,84105.77942167096,84231.06016208713,646.3787890348407,84223.11979180935,718.6009730662012
2025-04-19 00:00:00,84433.75017215389,84930.90857600998,84490.14605661161,415.4454262268112,84365.18579062598,630.7426940982793
2025-04-20 00:00:00,85126.66244301842,84433.75017215389,84830.44039706077,357.21456439309526,84339.69509906766,588.6259036033795
2025-04-21 00:00:00,85073.16544858096,85126.66244301842,84877.85935458442,385.53885218308835,84550.03014878703,541.7932238637655
2025-04-22 00:00:00,87452.04699068287,85073.16544858096,85883.95829409407,1358.2680524772643,84968.40079152821,1221.8153706932915
2025-04-23 00:00:00,93576.1658857398,87452.04699068287,88700.45944166789,4386.815968833352,86385.4969911224,3348.4419722668017
2025-04-24 00:00:00,93605.45230873208,93576.1658857398,91544.55506171826,3544.246204379678,87742.59311784543,4109.157560893232
2025-04-25 00:00:00,93872.81422867288,93605.45230873208,93684.81080771494,163.47289794115153,89020.00821108298,4463.977501871627
2025-04-26 00:00:00,94773.11200643536,93872.81422867288,94083.79284794677,611.7526262735428,90497.05990169464,4403.696163954797
2025-04-27 00:00:00,94644.06637120109,94773.11200643536,94429.99753543646,486.8296642508869,91856.68903429214,3910.9162092170154
2025-04-28 00:00:00,93809.33781968225,94644.06637120109,94408.83873243956,523.1770276782919,93104.71365873519,2538.545527520639
2025-04-29 00:00:00,95030.60645474444,93809.33781968225,94494.67021520926,624.1904183139262,94187.36501074398,607.8329435153734
2025-04-30 00:00:00,94256.35946318062,95030.60645474444,94365.43457920244,617.8974878144791,94284.53552180696,544.9566389256488
2025-05-01 00:00:00,94235.75331048168,94256.35946318062,94507.57307613558,453.07735513475546,94374.57852205691,459.4086652894916
2025-05-02 00:00:00,96426.94522273028,94235.75331048168,94973.01933213086,1259.1789090110042,94739.45437835083,846.0534719934087
2025-05-03 00:00:00,96855.5681343944,96426.94522273028,95839.42222253546,1405.2561633794953,95036.94811091639,1165.627571383085
2025-05-04 00:00:00,95922.86842404422,96855.5681343944,96401.79392705631,466.8582527671656,95219.6341184654,1193.6641982666877
2025-05-05 00:00:00,94326.62048529249,95922.86842404422,95701.6856812437,1278.9000771203712,95293.53164212403,1104.4845781323372
2025-05-06 00:00:00,94758.8237105546,94326.62048529249,95002.77087329711,825.6116121695784,95254.70553581118,1119.9365869100036
2025-05-07 00:00:00,96854.53198815876,94758.8237105546,95313.32539466862,1352.1051105014935,95625.87303937948,1163.610783950535
2025-05-08 00:00:00,97026.493769668,96854.53198815876,96213.28315612713,1262.5299690247805,96024.55024783468,1083.2544555495188
2025-05-09 00:00:00,103076.27555512934,97026.493769668,98985.7671043187,3543.5275155118134,96974.45458103453,2895.0912965138737
2025-05-10 00:03:03,102983.4230923813,103076.27555512934,101028.73080572621,3466.3498618223857,97849.86243217553,3674.654585426795
